End Date,XAUUSD,XAUEUR,XAUGBP,XAUCAD,XAUCHF
6/13/15,1181.46,1047.87,758.788,1454.38,1095.15
6/14/15,1181.46,1047.87,758.788,1454.38,1095.15
6/15/15,1182.36,1052.39,760.435,1457.39,1102.26
6/16/15,1183.47,1050.95,757.961,1458.43,1101.71
6/17/15,1180.29,1047.64,751.819,1451.45,1095.51
6/18/15,1193.89,1049.55,752.364,1457.31,1098.1
6/19/15,1200.82,1058.29,756.433,1470.28,1106.28
6/20/15,1200.03,1057.08,755.306,1471.7,1100.36
6/21/15,1200.03,1057.08,755.306,1471.7,1100.36
6/22/15,1193.13,1049.85,752.411,1463.93,1096.41
6/23/15,1182.67,1051.92,749.782,1458.48,1099.07
6/24/15,1176.27,1051.13,747.424,1451.81,1097.8
6/25/15,1174.79,1048.65,747.517,1453.04,1099.17
6/26/15,1173.89,1049.42,745.769,1448.88,1097.36
6/27/15,1175.07,1050.98,745.75,1446.9,1094.77
6/28/15,1175.07,1050.98,745.75,1446.9,1094.77
6/29/15,1180.25,1063.62,750.769,1458.09,1102.35
6/30/15,1175.2,1050.93,747.176,1460.19,1093.39
7/1/15,1171.7,1054.78,747.947,1467.17,1101.53
7/2/15,1165.68,1052.72,746.835,1466.75,1103.07
7/3/15,1167.65,1052.16,748.088,1466.54,1099.96
7/4/15,1168.53,1050.71,750.008,1467.86,1097.08
7/5/15,1168.53,1050.71,750.008,1467.86,1097.08
7/6/15,1168.23,1057.78,750.133,1473.93,1102.35
7/7/15,1163.66,1057.85,749.827,1477.47,1100.62
7/8/15,1156.07,1048.24,750.521,1471.68,1093.97
7/9/15,1160.91,1050.24,754.809,1476.39,1099.55
7/10/15,1161.2,1043.9,751.517,1475.04,1094.16
7/11/15,1163.35,1042.18,749.209,1471.46,1090.36
7/12/15,1163.35,1042.18,749.209,1471.46,1090.36
7/13/15,1158.52,1045.36,746.536,1473.76,1094.27
7/14/15,1155.5,1049.44,743.742,1473.78,1094.72
7/15/15,1152.81,1048.95,737.37,1475.18,1092.83
7/16/15,1146.22,1050.5,733.932,1482.5,1094.55
7/17/15,1140.71,1048.9,730.232,1479.74,1093.11
7/18/15,1134.23,1047.14,726.506,1471.14,1090.42
7/19/15,1134.23,1047.14,726.506,1471.14,1090.42
7/20/15,1113.64,1027.46,714.55,1446.12,1071.96
7/21/15,1103.68,1015.48,709.194,1432.63,1061
7/22/15,1094.96,1002.2,702.103,1421.81,1050.32
7/23/15,1096.59,999.93,703.539,1427.35,1050.36
7/24/15,1086.33,990.298,700.626,1417.08,1043.67
7/25/15,1098.27,999.337,707.571,1432.09,1056.64
7/26/15,1098.27,999.337,707.571,1432.09,1056.64
7/27/15,1097.2,992.984,706.211,1429.08,1052.93
7/28/15,1094.93,989.605,702.693,1423.11,1054.48
7/29/15,1096.18,992.21,701.67,1417.57,1055.33
7/30/15,1090.7,995.707,698.914,1415.62,1057.32
7/31/15,1088.35,991.581,697.329,1417.45,1050.11
8/1/15,1095.13,996.751,700.785,1432.82,1057.09
8/2/15,1095.13,996.751,700.785,1432.82,1057.09
8/3/15,1092.58,996.013,699.849,1434.8,1056.46
8/4/15,1088.2,993.837,697.784,1430.72,1056.28
8/5/15,1086.36,998.698,697.129,1432.3,1063.51
8/6/15,1086.77,996.108,697.835,1430.03,1065.49
8/7/15,1091.4,998.434,704.069,1431.73,1071.96
8/8/15,1093.77,997.119,705.617,1435.92,1075.3
8/9/15,1093.77,997.119,705.617,1435.92,1075.3
8/10/15,1097.28,999.863,707.302,1438.86,1079.46
8/11/15,1106.23,1003.61,710.008,1445.82,1089.23
8/12/15,1116.01,1003.94,715.694,1456.92,1093.41
8/13/15,1119.14,1005.01,716.724,1456.41,1092.89
8/14/15,1115.4,1000.97,713.905,1457.38,1088.4
8/15/15,1114.46,1002.79,711.988,1459.31,1087.39
8/16/15,1114.46,1002.79,711.988,1459.31,1087.39
8/17/15,1117.12,1007.09,714.614,1464.22,1091.43
8/18/15,1117.68,1010.73,715.029,1462.99,1092.62
8/19/15,1122.6,1015.4,716.461,1467.86,1092.77
8/20/15,1141.43,1022.89,728.236,1496.92,1100.19
8/21/15,1157.15,1024.88,737.305,1516.87,1104.65
8/22/15,1160.74,1018.99,739.12,1529.76,1097.73
8/23/15,1160.74,1018.99,739.12,1529.76,1097.73
8/24/15,1158.08,1007.44,736.967,1532.31,1088.54
8/25/15,1147.76,996.724,728.642,1522.27,1077.62
8/26/15,1132.86,989.322,725.264,1507.92,1069.85
8/27/15,1125.26,996.236,727.951,1490.88,1076.23
8/28/15,1130.2,1005.29,733.771,1493.46,1088.19
8/29/15,1133.12,1012.81,736.017,1495.49,1089.8
8/30/15,1133.12,1012.81,736.017,1495.49,1089.8
8/31/15,1132.82,1009.67,735.519,1498.97,1091.14
9/1/15,1140.32,1012.13,742.742,1501.44,1097.26
9/2/15,1137.84,1010.06,743.632,1507.9,1097.3
9/3/15,1129.58,1009.56,739.305,1495.83,1097.06
9/4/15,1123.46,1009.06,737.921,1485.58,1093.58
9/5/15,1120.94,1004.74,738.33,1488.27,1088.47
9/6/15,1120.94,1004.74,738.33,1488.27,1088.47
9/7/15,1121.04,1004.75,735.883,1488.46,1091.23
9/8/15,1121.36,1002.9,730.693,1486.65,1094.7
9/9/15,1117.56,999.885,726.662,1476.44,1092.69
9/10/15,1108.38,987.333,719.942,1467.58,1080.79
9/11/15,1108.06,980.923,717.8,1467.77,1078.79
9/12/15,1107.33,976.286,717.528,1467.8,1072.93
9/13/15,1107.33,976.286,717.528,1467.8,1072.93
9/14/15,1107.44,977.454,717.511,1467.12,1073.06
9/15/15,1106.48,979.044,718.365,1466.42,1073.55
9/16/15,1110.75,985.068,720.809,1468.18,1079.63
9/17/15,1120.53,989.747,721.769,1476.6,1085.41
9/18/15,1133.71,994.621,727.3,1489.18,1088.58
9/19/15,1138.53,1007.03,732.704,1505.37,1101.59
9/20/15,1138.53,1007.03,732.704,1505.37,1101.59
9/21/15,1135.93,1008.25,731.66,1501.67,1100.66
9/22/15,1130.03,1011.82,731.209,1497.58,1099.34
9/23/15,1127.5,1011.56,736.599,1498.3,1100.76
9/24/15,1140.13,1016.61,747.468,1520.28,1112.67
9/25/15,1146.75,1026.3,754.021,1528.59,1122.29
9/26/15,1145.07,1021.97,753.882,1525.91,1120.33
9/27/15,1145.07,1021.97,753.882,1525.91,1120.33
9/28/15,1138.76,1016.97,749.387,1519.47,1113.53
9/29/15,1129.82,1004.76,744.939,1514.97,1098.3
9/30/15,1121.58,999.866,740.043,1502.93,1091.57
10/1/15,1114.65,997.97,736.313,1480.09,1087.83
10/2/15,1119.96,999.544,738.496,1481.09,1091.65
10/3/15,1138.18,1014.81,749.37,1496.65,1105.55
10/4/15,1138.18,1014.81,749.37,1496.65,1105.55
10/5/15,1135.98,1012.22,747.911,1490.17,1104.67
10/6/15,1140.46,1016.67,751.299,1491.17,1109.66
10/7/15,1147.93,1019.89,751.32,1495.44,1111.8
10/8/15,1143.55,1014.9,746.447,1491.74,1108.98
10/9/15,1149.97,1015.53,749.284,1490.67,1107.84
10/10/15,1155.61,1017.26,753.896,1495.57,1110.97
10/11/15,1155.61,1017.26,753.896,1495.57,1110.97
10/12/15,1161.57,1021.44,757.056,1503.66,1116.45
10/13/15,1160.39,1020.22,759.156,1511.58,1114.61
10/14/15,1174.11,1028.45,764.861,1525.67,1121.25
10/15/15,1184.54,1035.54,765.349,1527.66,1125.45
10/16/15,1179.97,1037.73,763.228,1521.03,1123.36
10/17/15,1176.08,1035.78,761.504,1516.69,1120.12
10/18/15,1176.08,1035.78,761.504,1516.69,1120.12
10/19/15,1173.34,1034.23,758.984,1519,1120.17
10/20/15,1173.06,1033.93,758.202,1525.46,1119.72
10/21/15,1173.35,1033.52,759.792,1528.56,1122.35
10/22/15,1166.66,1035.53,756.258,1530.37,1124.79
10/23/15,1167.97,1053.69,759.492,1530.68,1138.46
10/24/15,1164.13,1056.43,759.796,1532.37,1138.96
10/25/15,1164.13,1056.43,759.796,1532.37,1138.96
10/26/15,1164.95,1055.69,759.478,1532.3,1141.1
10/27/15,1165.05,1054.09,759.725,1537.54,1145.77
